Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      3.09     0.00        4     0.00     0.00  Gb_Apu::set_output(Blip_Buffer*, Blip_Buffer*, Blip_Buffer*, int)
  0.00      3.09     0.00        4     0.00     0.00  fex_identify_extension
  0.00      3.09     0.00        3     0.00     0.00  applyPatch(char const*, unsigned char**, int*)
  0.00      3.09     0.00        3     0.00     0.00  Blip_Buffer::set_sample_rate(long, int)
  0.00      3.09     0.00        3     0.00     0.00  Blip_Buffer::clear(int)
  0.00      3.09     0.00        3     0.00     0.00  Blip_Buffer::Blip_Buffer()
  0.00      3.09     0.00        3     0.00     0.00  Blip_Buffer::~Blip_Buffer()
  0.00      3.09     0.00        3     0.00     0.00  Std_File_Reader::open(char const*)
  0.00      3.09     0.00        3     0.00     0.00  Std_File_Reader::read_v(void*, int)
  0.00      3.09     0.00        3     0.00     0.00  Std_File_Reader::Std_File_Reader()
  0.00      3.09     0.00        3     0.00     0.00  fex_t::set_name(char const*, wchar_t const*)
  0.00      3.09     0.00        3     0.00     0.00  Gb_Apu::reset(Gb_Apu::mode_t, bool)
  0.00      3.09     0.00        3     0.00     0.00  Gb_Apu::volume(double)
  0.00      3.09     0.00        3     0.00     0.00  Blip_Buffer::clock_rate_factor(long) const
  0.00      3.09     0.00        2     0.00     0.00  ReadPrefHex(char const*, int)
  0.00      3.09     0.00        2     0.00     0.00  agbPrintEnable(bool)
  0.00      3.09     0.00        2     0.00     0.00  utilStripDoubleExtension(char const*, char*)
  0.00      3.09     0.00        2     0.00     0.00  rtcEnable(bool)
  0.00      3.09     0.00        2     0.00     0.00  new_binary()
  0.00      3.09     0.00        2     0.00     0.00  thumb00_0A(unsigned int)
  0.00      3.09     0.00        2     0.00     0.00  thumb08_06(unsigned int)
  0.00      3.09     0.00        2     0.00     0.00  thumb08_07(unsigned int)
  0.00      3.09     0.00        2     0.00     0.00  thumb10_01(unsigned int)
  0.00      3.09     0.00        2     0.00     0.00  Blip_Synth_::Blip_Synth_(short*, int)
  0.00      3.09     0.00        2     0.00     0.00  blargg_vector_::resize_(unsigned long, unsigned long)
  0.00      3.09     0.00        2     0.00     0.00  Std_File_Reader::~Std_File_Reader()
  0.00      3.09     0.00        2     0.00     0.00  Binary_Extractor::open_path_v()
  0.00      3.09     0.00        2     0.00     0.00  Binary_Extractor::~Binary_Extractor()
  0.00      3.09     0.00        2     0.00     0.00  fex_t::open(char const*)
  0.00      3.09     0.00        2     0.00     0.00  fex_t::stat()
  0.00      3.09     0.00        2     0.00     0.00  fex_t::close()
  0.00      3.09     0.00        2     0.00     0.00  fex_t::fex_t(fex_type_t_ const*)
  0.00      3.09     0.00        2     0.00     0.00  fex_t::~fex_t()
