Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      2.77     0.00     2017     0.00     0.00  arm550(unsigned int)
  0.00      2.77     0.00     2017     0.00     0.00  arm790(unsigned int)
  0.00      2.77     0.00     2016     0.00     0.00  arm1B0(unsigned int)
  0.00      2.77     0.00     2016     0.00     0.01  arm810(unsigned int)
  0.00      2.77     0.00     2016     0.00     0.00  thumb45_1(unsigned int)
  0.00      2.77     0.00     1947     0.00     0.00  thumb10_04(unsigned int)
  0.00      2.77     0.00     1795     0.00     0.00  thumb1A_7(unsigned int)
  0.00      2.77     0.00     1778     0.00     0.00  Gb_Env::write_register(int, int, int, int)
  0.00      2.77     0.00     1666     0.00     0.00  thumb10_18(unsigned int)
  0.00      2.77     0.00     1580     0.00     0.00  thumb08_05(unsigned int)
  0.00      2.77     0.00     1474     0.00     0.00  arm089(unsigned int)
  0.00      2.77     0.00     1474     0.00     0.00  thumb40_3(unsigned int)
  0.00      2.77     0.00     1248     0.00     0.00  FileExists(char const*)
  0.00      2.77     0.00     1144     0.00     0.00  thumb08_19(unsigned int)
  0.00      2.77     0.00      603     0.00     0.00  thumb3B(unsigned int)
  0.00      2.77     0.00      456     0.00     0.00  thumb00_07(unsigned int)
  0.00      2.77     0.00      409     0.00     0.00  Gb_Apu::apply_stereo()
  0.00      2.77     0.00      384     0.00     0.00  thumb10_02(unsigned int)
  0.00      2.77     0.00      312     0.00     0.00  FindConfigFile(char const*)
  0.00      2.77     0.00      312     0.00     0.00  thumb00_06(unsigned int)
  0.00      2.77     0.00      202     0.00     0.00  system10Frames(int)
  0.00      2.77     0.00      155     0.00     0.00  LoadConfigFile()
  0.00      2.77     0.00      150     0.00     0.00  arm1A7(unsigned int)
  0.00      2.77     0.00      144     0.00     0.00  Gb_Wave::access(unsigned int) const
  0.00      2.77     0.00       91     0.00     0.00  iniparser_getstring
  0.00      2.77     0.00       75     0.00     0.00  arm1A2(unsigned int)
  0.00      2.77     0.00       64     0.00     0.00  ReadPref(char const*, int)
  0.00      2.77     0.00       64     0.00     0.00  iniparser_getint
  0.00      2.77     0.00       34     0.00     0.00  systemGetClock()
  0.00      2.77     0.00       33     0.00     0.00  systemShowSpeed(int)
  0.00      2.77     0.00       32     0.00     0.00  Gb_Osc::reset()
  0.00      2.77     0.00       31     0.00     0.00  thumb08_0B(unsigned int)
  0.00      2.77     0.00       25     0.00     0.00  Blip_Synth_::volume_unit(double)
  0.00      2.77     0.00       24     0.00     0.00  Gb_Apu::silence_osc(Gb_Osc&)
  0.00      2.77     0.00       23     0.00     0.00  BIOS_CpuSet()
  0.00      2.77     0.00       19     0.00     0.00  thumb00_0B(unsigned int)
  0.00      2.77     0.00       18     0.00     0.00  Gba_Pcm::apply_control(int)
  0.00      2.77     0.00       16     0.00     0.00  blargg_vector_::clear()
  0.00      2.77     0.00       11     0.00     0.00  ReadPrefHex(char const*)
  0.00      2.77     0.00       10     0.00     0.00  thumb1C_6(unsigned int)
  0.00      2.77     0.00        8     0.00     0.00  thumb00_1C(unsigned int)
  0.00      2.77     0.00        8     0.00     0.00  thumb1C_4(unsigned int)
  0.00      2.77     0.00        8     0.00     0.00  Gb_Apu::reset_regs()
  0.00      2.77     0.00        7     0.00     0.00  thumb00_0C(unsigned int)
  0.00      2.77     0.00        6     0.00     0.00  interp_rate()
  0.00      2.77     0.00        6     0.00     0.00  BIOS_CpuFastSet()
  0.00      2.77     0.00        6     0.00     0.00  CPUUpdateRenderBuffers(bool)
  0.00      2.77     0.00        5     0.00     0.00  thumb00_09(unsigned int)
  0.00      2.77     0.00        5     0.00     0.00  Blip_Synth_::treble_eq(blip_eq_t const&)
  0.00      2.77     0.00        5     0.00     0.00  blip_eq_t::generate(float*, int) const
  0.00      2.77     0.00        4     0.00     0.00  applyTimer()
  0.00      2.77     0.00        4     0.00     0.00  BIOS_LZ77UnCompVram()
  0.00      2.77     0.00        4     0.00     0.00  thumb00_0E(unsigned int)
  0.00      2.77     0.00        4     0.00     0.00  thumb00_11(unsigned int)
  0.00      2.77     0.00        4     0.00     0.00  thumb1A_3(unsigned int)
  0.00      2.77     0.00        4     0.00     0.00  Data_Reader::read(void*, int)
  0.00      2.77     0.00        4     0.00     0.00  Gba_Pcm_Fifo::write_control(int)
  0.00      2.77     0.00        4     0.00     0.00  blargg_vector_::init()
  0.00      2.77     0.00        4     0.00     0.00  Binary_Extractor::close_v()
  0.00      2.77     0.00        4     0.00     0.00  Gb_Apu::set_output(Blip_Buffer*, Blip_Buffer*, Blip_Buffer*, int)
  0.00      2.77     0.00        4     0.00     0.00  fex_identify_extension
  0.00      2.77     0.00        3     0.00     0.00  applyPatch(char const*, unsigned char**, int*)
  0.00      2.77     0.00        3     0.00     0.00  Blip_Buffer::set_sample_rate(long, int)
  0.00      2.77     0.00        3     0.00     0.00  Blip_Buffer::clear(int)
  0.00      2.77     0.00        3     0.00     0.00  Blip_Buffer::Blip_Buffer()
  0.00      2.77     0.00        3     0.00     0.00  Blip_Buffer::~Blip_Buffer()
  0.00      2.77     0.00        3     0.00     0.00  Std_File_Reader::open(char const*)
  0.00      2.77     0.00        3     0.00     0.00  Std_File_Reader::read_v(void*, int)
  0.00      2.77     0.00        3     0.00     0.00  Std_File_Reader::Std_File_Reader()
  0.00      2.77     0.00        3     0.00     0.00  fex_t::set_name(char const*, wchar_t const*)
  0.00      2.77     0.00        3     0.00     0.00  Gb_Apu::reset(Gb_Apu::mode_t, bool)
  0.00      2.77     0.00        3     0.00     0.00  Gb_Apu::volume(double)
  0.00      2.77     0.00        3     0.00     0.00  Blip_Buffer::clock_rate_factor(long) const
  0.00      2.77     0.00        2     0.00     0.00  ReadPrefHex(char const*, int)
  0.00      2.77     0.00        2     0.00     0.00  agbPrintEnable(bool)
  0.00      2.77     0.00        2     0.00     0.00  systemOnSoundShutdown()
